date,equity,daily_pnl,drawdown_pct,trade_count_cumulative
2025-01-01,100000000,0,0.00,0
2025-01-15,109030000,9030000,0.00,1
2025-01-28,104470000,-4560000,4.18,2
2025-02-10,115790000,11320000,0.00,3
2025-02-22,111110000,-4680000,4.04,4
2025-03-05,119310000,8200000,0.00,5
2025-03-18,126760000,7450000,0.00,6
2025-03-30,119040000,-7720000,6.09,7
2025-04-10,137390000,18350000,0.00,8
2025-04-22,146820000,9430000,0.00,9
2025-05-05,134640000,-12180000,8.29,10
2025-05-15,146150000,11510000,0.00,11
2025-05-28,155020000,8870000,0.00,12
2025-06-10,141300000,-13720000,8.85,13
2025-06-22,150880000,9580000,0.00,14
2025-07-05,176680000,25800000,0.00,15
2025-07-18,188230000,11550000,0.00,16
2025-07-30,178000000,-10230000,5.44,17
2025-08-12,193930000,15930000,0.00,18
2025-08-25,207490000,13560000,0.00,19
2025-09-08,238170000,30680000,0.00,20
2025-09-20,217440000,-20730000,8.71,21
2025-10-03,232730000,15290000,0.00,22
2025-10-15,269330000,36600000,0.00,23
2025-10-28,254010000,-15320000,5.69,24
2025-11-10,274810000,20800000,0.00,25
2025-11-22,293570000,18760000,0.00,26
2025-12-05,325020000,31450000,0.00,27
2025-12-18,304370000,-20650000,6.35,28
2026-01-08,325260000,20890000,0.00,29
2026-01-20,382460000,57200000,0.00,30
