date,ticker,entry_price,exit_price,stoploss,take_profit,rsi_at_entry,volume_ratio,trend,result,pnl_pct,rr_achieved
2025-01-15,VNM,72000,78500,69500,80000,38.2,1.85,uptrend,win,9.03,2.4
2025-01-28,HPG,28500,25800,27200,32000,65.4,0.72,downtrend,loss,-4.56,0.0
2025-02-10,VIC,48000,53200,46500,55000,41.7,2.10,uptrend,win,10.83,3.1
2025-02-22,MSN,62000,59500,60500,67000,71.2,0.65,sideways,loss,-4.03,0.0
2025-03-05,VNM,74500,80000,72000,82000,36.9,1.95,uptrend,win,7.38,2.2
2025-03-18,VCB,88000,93500,85500,96000,44.3,1.75,uptrend,win,6.25,2.1
2025-03-30,FPT,115000,108000,112000,124000,68.9,0.55,sideways,loss,-6.09,0.0
2025-04-10,HPG,30500,35200,29000,36500,39.8,2.25,uptrend,win,15.41,3.3
2025-04-22,VIC,51000,54500,49500,56000,43.1,1.60,uptrend,win,6.86,2.3
2025-05-05,MWG,42000,38500,40500,47000,67.5,0.70,downtrend,loss,-8.33,0.0
2025-05-15,VNM,76000,82500,74000,84500,37.5,1.90,uptrend,win,8.55,2.5
2025-05-28,VCB,91000,96500,88500,99000,42.8,1.80,uptrend,win,6.04,2.1
2025-06-10,TCB,32500,29500,31000,37000,72.1,0.60,downtrend,loss,-9.23,0.0
2025-06-22,FPT,118000,126000,115000,130000,40.2,2.05,uptrend,win,6.78,2.4
2025-07-05,HPG,33000,38500,31500,39500,35.8,2.30,uptrend,win,16.67,3.5
2025-07-18,VIC,53500,57000,52000,59500,44.6,1.65,uptrend,win,6.54,2.2
2025-07-30,MSN,65000,61500,63000,71000,69.3,0.68,sideways,loss,-5.38,0.0
2025-08-12,VNM,77500,84000,75500,86000,38.9,1.88,uptrend,win,8.39,2.5
2025-08-25,VCB,93000,99500,90500,102000,41.5,1.92,uptrend,win,6.99,2.3
2025-09-08,MWG,44000,50500,42500,52000,37.2,2.15,uptrend,win,14.77,3.2
2025-09-20,TCB,34000,31000,32500,38500,70.8,0.58,downtrend,loss,-8.82,0.0
2025-10-03,FPT,121000,129500,118500,133000,39.5,2.08,uptrend,win,7.02,2.4
2025-10-15,HPG,35000,40500,33500,42000,36.4,2.20,uptrend,win,15.71,3.4
2025-10-28,VNM,79000,74500,76500,86000,67.8,0.62,sideways,loss,-5.70,0.0
2025-11-10,VIC,55000,59500,53500,62000,43.7,1.72,uptrend,win,8.18,2.6
2025-11-22,VCB,95000,101500,92500,104000,42.1,1.85,uptrend,win,6.84,2.2
2025-12-05,MSN,68000,75500,66000,78000,38.1,2.00,uptrend,win,11.03,3.0
2025-12-18,MWG,46000,43000,44500,52000,68.4,0.63,downtrend,loss,-6.52,0.0
2026-01-08,FPT,124000,132500,121500,136500,40.8,2.12,uptrend,win,6.85,2.3
2026-01-20,HPG,37000,43500,35500,45000,37.1,2.35,uptrend,win,17.57,3.6
